2,890,1223,910,1243
1,971,1179,991,1199
3,907,1158,927,1178
5,959,1128,979,1148
4,906,1115,926,1135
6,959,1089,979,1109
7,958,1051,978,1071
8,914,954,934,974
9,914,899,934,919
10,914,834,934,854
11,914,774,934,794
12,961,787,981,807
13,986,730,1006,750
14,1029,724,1049,744
15,1040,686,1060,706
16,989,660,1009,680
17,989,634,1009,654
18,1030,617,1050,637
19,997,572,1017,592
20,959,458,979,478
21,959,397,979,417
22,960,343,980,363
23,959,232,979,252
24,914,386,934,406
25,865,457,885,477
26,836,531,856,551
27,837,571,857,591
28,837,615,857,635
29,802,644,822,664
30,929,675,949,695
31,929,634,949,654
32,928,591,948,611
33,911,563,931,583
34,901,592,921,612
35,901,618,921,638
36,901,647,921,667
37,901,674,921,694
38,803,726,823,746
39,691,706,711,726
40,663,700,683,720
41,634,692,654,712
42,603,686,623,706
43,447,673,467,693
44,629,313,649,333
45,361,271,381,291
46,310,241,330,261
47,276,241,296,261
48,240,267,260,287
49,234,342,254,362
50,103,381,123,401
51,142,362,162,382
52,173,273,193,293
53,132,231,152,251
54,83,249,103,269
55,22,260,42,280
56,66,295,86,315
57,94,295,114,315
58,123,295,143,315
